1,肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,希望让人自由。
2,霸王别姬,陈凯歌 Kaige Chen,1993,风华绝代。
3,阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,一部美国近现代史。
4,泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,失去的才是永恒的。 
5,这个杀手不太冷,吕克·贝松 Luc Besson,1994,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,最美的谎言。
7,千与千寻,宫崎骏 Hayao Miyazaki,2001,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,拯救一个人，就是拯救整个世界。
9,盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,永远都不能忘记你所爱的人。
11,星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,彼得·威尔 Peter Weir,1998,如果再也不能见到你，祝你早安，午安，晚安。
13,海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,小瓦力，大人生。
16,放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,天籁一般的童声，是最接近上帝的存在。 
17,无间道,刘伟强 / 麦兆辉,2002,香港电影史上永不过时的杰作。
18,疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,一生所爱。
20,熔炉,黄东赫 Dong-hyuk Hwang,2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,控方证人,比利·怀尔德 Billy Wilder,1957,比利·怀德满分作品。
22,教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,平民励志片。 
24,触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,满满温情的高雅喜剧。
25,怦然心动,罗伯·莱纳 Rob Reiner,2010,真正的幸福是来自内心深处。
26,龙猫,宫崎骏 Hayao Miyazaki,1988,人人心中都有个龙猫，童年就永远不会消失。
27,末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,死亡不是真的逝去，遗忘才是永恒的消亡。
29,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,无尽的黑暗。
30,活着,张艺谋 Yimou Zhang,1994,张艺谋最好的电影。
31,哈利·波特与魔法石,Chris Columbus,2001,童话世界的开端。
32,指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,史诗的终章。
33,乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,Tomorrow is another day.
34,素媛,李濬益 Jun-ik Lee,2013,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,最后那些最无聊的事情，才是最值得怀念的。 
36,摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,我不是药神,文牧野 Muye Wen,2018,对我们国家而言，这样的电影多一部是一部。
38,何以为家,娜丁·拉巴基 Nadine Labaki,2018,凝视卑弱生命，用电影改变命运。
39,十二怒汉,Sidney Lumet,1957,1957年的理想主义。 
40,哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,带着心爱的人在天空飞翔。
41,少年派的奇幻漂流,李安 Ang Lee,2012,瑰丽壮观、无人能及的冒险之旅。
42,鬼子来了,姜文 Wen Jiang,2000,对敌人的仁慈，就是对自己残忍。
43,大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,旷古烁今。
44,猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,骗子大师和执著警探的你追我跑故事。 
45,天空之城,宫崎骏 Hayao Miyazaki,1986,对天空的追逐，永不停止。 
46,天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
47,闻香识女人,马丁·布莱斯 Martin Brest,1992,史上最美的探戈。
48,指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,承前启后的史诗篇章。
49,钢琴家,罗曼·波兰斯基 Roman Polanski,2002,音乐能化解仇恨。
50,让子弹飞,姜文 Wen Jiang,2010,你给我翻译翻译，神马叫做TMD的惊喜。
51,罗马假日,威廉·惠勒 William Wyler,1953,爱情哪怕只有一天。
52,海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
53,指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,传说的开始。
54,黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,视觉革命。
55,大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),经典之作，历久弥新。
56,辩护人,杨宇硕 Woo-seok Yang,2013,电影的现实意义大过电影本身。
57,教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,优雅的孤独。
58,死亡诗社,彼得·威尔 Peter Weir,1989,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
59,狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,动物版《哈姆雷特》。
60,绿皮书,彼得·法雷里 Peter Farrelly,2018,去除成见，需要勇气。
